Nombre;Email;Promoción;Fecha_comienzo;Campus;Proyecto_HLF;Proyecto_EDA;Proyecto_BBDD;Proyecto_ML;Proyecto_Deployment
Jafet Casals;Jafet_Casals@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;Apto;Apto
Jorge Manzanares;Jorge_Manzanares@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;Apto;Apto
Onofre Adadia;Onofre_Adadia@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;No Apto;Apto
Merche Prada;Merche_Prada@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;No Apto;Apto;No Apto
Pilar Abella;Pilar_Abella@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;Apto;Apto
Leoncio Tena;Leoncio_Tena@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;Apto
Odalys Torrijos;Odalys_Torrijos@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;Apto;Apto;Apto;Apto
Eduardo Caparrós;Eduardo_Caparrós@gmail.com;Septiembre;18/09/2023;Madrid;No Apto;Apto;Apto;Apto;Apto
Ignacio Goicoechea;Ignacio_Goicoechea@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;No Apto;Apto
Clementina Santos;Clementina_Santos@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;Apto;Apto
Daniela Falcó;Daniela_Falcó@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;Apto
Abraham Vélez;Abraham_Vélez@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;No Apto;Apto;Apto
Maximiliano Menéndez;Maximiliano_Menéndez@gmail.com;Septiembre;18/09/2023;Madrid;Apto;No Apto;Apto;Apto;Apto
Anita Heredia;Anita_Heredia@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;Apto
Eli Casas;Eli_Casas@gmail.com;Septiembre;18/09/2023;Madrid;Apto;Apto;Apto;Apto;Apto
