Nombre;Email;Promoción;Fecha_comienzo;Campus;Proyecto_WebDev;Proyecto_FrontEnd;Proyecto_Backend;Proyecto_React;Proyecto_FullSatck
Teresa Laguna;Teresa_Laguna@gmail.com;Febrero;12/02/2024;Valencia;Apto;Apto;Apto;Apto;Apto
Estrella Murillo;Estrella_Murillo@gmail.com;Febrero;12/02/2024;Valencia;Apto;Apto;No Apto;Apto;Apto
Ernesto Uriarte;Ernesto_Uriarte@gmail.com;Febrero;12/02/2024;Valencia;Apto;Apto;Apto;Apto;Apto
Daniela Guitart;Daniela_Guitart@gmail.com;Febrero;12/02/2024;Valencia;Apto;No Apto;No Apto;Apto;Apto
Timoteo Trillo;Timoteo_Trillo@gmail.com;Febrero;12/02/2024;Valencia;No Apto;Apto;Apto;Apto;No Apto
Ricarda Tovar;Ricarda_Tovar@gmail.com;Febrero;12/02/2024;Valencia;Apto;Apto;Apto;Apto;Apto
Alejandra Vilaplana;Alejandra_Vilaplana@gmail.com;Febrero;12/02/2024;Valencia;No Apto;No Apto;No Apto;Apto;Apto
Daniel Rosselló;Daniel_Rosselló@gmail.com;Febrero;12/02/2024;Valencia;No Apto;No Apto;Apto;No Apto;No Apto
Rita Olivares;Rita_Olivares@gmail.com;Febrero;12/02/2024;Valencia;No Apto;No Apto;No Apto;Apto;Apto
Cleto Montes;Cleto_Montes@gmail.com;Febrero;12/02/2024;Valencia;Apto;Apto;No Apto;Apto;Apto
Marino Castilla;Marino_Castilla@gmail.com;Febrero;12/02/2024;Valencia;No Apto;No Apto;Apto;No Apto;No Apto
Estefanía Valcárcel;Estefanía_Valcárcel@gmail.com;Febrero;12/02/2024;Valencia;Apto;Apto;No Apto;No Apto;Apto
Noemí Vilanova;Noemí_Vilanova@gmail.com;Febrero;12/02/2024;Valencia;Apto;No Apto;No Apto;Apto;Apto
